Date,0,1,2,FR,P,P_L1,P_L2,P_L3,P_L4,P_L5,P_L6,P_L7,P_L8,P_L9,P_L10,P_L11,P_L12,P_L13,P_L14,P_L15,P_L16,P_L17,P_L18,P_L19,P_L20,Hang Seng Index,SSE Composite Index,ASX All Ordinaries,TOPIX,KOSPI Composite Index,Taiwan TAIEX,Philippines PSE PSEi,NEW ZEALAND NZX 50(CAP),India S&P BSE SENSEX,FTSE Bursa Malaysia KLCI,FTSE Straits Times Index,Thailand SET,Euro STOXX,FTSE 100,France CAC 40,Germany DAX (TR),FTSE MIB,Belgium BEL-20,Ireland ISEQ Overall,Netherlands AEX,Norway OSE OBX TR,Spain IBEX 35,OMX Stockholm 30,Switzerland SMI (PR),Austria ATX,OMX Copenhagen 20,OMX Helsinki 25,Portugal PSI 20,Russia RTS,Czech Republic PX - 50,Hungary BUX,Poland WIG,Turkey BIST 100,S&P 500,DJ Industrial Average,Colombia IGBC,Canada S&P/TSX Composite,Brazil Bovespa Index,Mexico IPC,Israel TA-125,Saudi Arabia All Share (TASI),FTSE JSE All Share,Close,High,Low,Ask,Bid,Open,20D Vol,MA5,MA15,MA12,MA20,MA26,RSI14,Williams R,ADL,PBK_LTM,PBK_NTM,PCF_LTM,PCF_NTM,EVEBIT_LTM,EVEBIT_NTM,DY_LTM,DY_NTM,ADV_VOL,PAYOUT,ANALYST_SENTIMENT,EPS_GRW_FY1,EPS_GRW_FY2,PE_NTM,PE_LTM,C2D_LTM
2016-04-22,0.5168458819389343,0.030130062252283096,0.4530240297317505,-0.011534153245286519,21.8,21.95,21.5,21.75,21.45,21.6,21.7,21.5,20.8,20.8,20.65,20.55,20.5,20.4,20.75,21.05,21.15,20.6,20.6,20.9,20.9,21467.04,2959.24,5299.2,1407.5,2015.49,8535.75,7255.39,6866.1,25880.38,1721.47,2960.78,1423.9,333.2,6381.44,4582.83,10435.73,18732.96,3490.38,6150.43,453.47,538.31,9197.2,1409.4897,8159.67,2333.51,973.2224,3213.7126,5083.98,927.23,918.6,27009.95,48514.39,85670.8,2091.48,17982.52,10166.34,13881.2,53630.93,45556.65,1292.77,6587.68,53323.58,21.8,21.8,21.6,21.8,21.8,21.7,1.3556923369999998,21.69,21.3375,21.18,21.1,21.025,63.484669999999994,-13.59928772,-1323,1.056401465,1.0748706190000001,8.548140587,9.207574921,15.67537704,15.8141434,4.052767693,3.7850962110000004,15.12748621,42.85529195,-2.245988659,-2.441127561,10.74355551,11.33694251,10.69204848,67.42362978
2016-05-05,0.6948257684707642,0.08787228167057037,0.21730197966098785,-0.01717833653508463,20.55,20.7,20.75,21.15,21.5,21.65,21.7,21.55,21.8,21.95,21.5,21.75,21.45,21.6,21.7,21.5,20.8,20.8,20.65,20.55,20.5,20449.82,2997.8416,5344.5,1299.96,1976.71,8167.96,6999.75,6876.49,25101.73,1657.58,2773.07,1390.7,315.33,6112.02,4324.23,9828.25,17935.67,3333.99,6018.36,428.92,534.97,8654.3,1319.1698,7752.97,2240.26,938.4743,3070.1853,5011.73,912.58,886.94,26212.15,47020.92,79382.62,2051.12,17651.26,9723.22,13632.0,52552.797,45349.0,1219.87,6586.5,51873.5,20.55,20.7,20.5,20.6,20.6,20.55,1.2696815190000001,20.93,21.379168,21.42,21.28,21.15577,40.130764,-16.49751396,-1445,1.041380491,1.025059626,8.439340782,8.731609876,15.56140408,15.24509233,4.0942232,3.965432849,5.698165133,42.56010013,-1.648875289,-1.067012061,10.89099367,10.74738885,10.54917862,67.47473313
2016-05-06,0.6340718269348145,0.031512971967458725,0.33441516757011414,0.004938281640582577,20.2,20.55,20.7,20.75,21.15,21.5,21.65,21.7,21.55,21.8,21.95,21.5,21.75,21.45,21.6,21.7,21.5,20.8,20.8,20.65,20.55,20109.87,2913.2476,5358.6,1298.32,1976.71,8146.43,6991.87,6898.1,25262.21,1645.09,2767.81,1390.7,315.69,6117.25,4319.46,9851.86,17923.9,3328.01,6038.23,431.24,534.97,8689.4,1319.1698,7752.97,2240.26,938.4743,3070.1853,5037.03,916.53,886.83,26240.14,46430.16,78698.84,2050.63,17660.71,9581.95,13632.01,51671.04,45147.97,1222.41,6656.41,51933.8,20.2,20.55,20.15,20.25,20.25,20.45,1.325394387,20.67,21.25,21.32,21.2625,21.140385000000002,35.492805,-13.5610042,-1487,1.035076028,1.007062477,8.395963591000001,8.599549368,15.49933669,15.06652383,4.118243963,4.03881427,1.691288795,42.58480603,-1.604566166,-0.976715807,10.91258317,10.55823965,10.48493363,67.49983863
2016-05-12,0.4532396197319031,0.14528615772724152,0.4014742076396942,-0.00851495252415031,20.05,20.2,20.45,20.3,20.2,20.55,20.7,20.75,21.15,21.5,21.65,21.7,21.55,21.8,21.95,21.5,21.75,21.45,21.6,21.7,21.5,19915.46,2835.8618,5423.4,1337.27,1977.49,8108.05,7325.04,6923.17,25597.02,1644.58,2732.87,1382.41,317.14,6162.49,4316.67,9975.32,17698.08,3342.88,6161.6,434.71,537.26,8663.9,1326.132,7937.88,2215.22,957.8401,3088.552,4880.39,927.0,866.93,26845.23,46053.07,79027.81,2064.46,17711.12,9894.79,13788.21,52764.46,45506.87,1228.24,6654.2,52130.34,20.05,20.25,20.0,20.1,20.1,20.2,1.081552837,20.24,20.766666,20.966667,21.125,21.05,35.47333,-12.08300707,-1523,1.031918782,0.998157718,8.411679102,8.614296917999999,15.48390178,14.97897378,4.1245713539999995,4.07304832,17.23528478,42.69381961,-1.456426709,-1.4313706940000002,10.49471716,10.49625963,10.474353500000001,67.40417159999998
2016-05-13,0.4442051947116852,0.31504037976264954,0.24075450003147125,0.008514952524150408,19.88,20.05,20.2,20.45,20.3,20.2,20.55,20.7,20.75,21.15,21.5,21.65,21.7,21.55,21.8,21.95,21.5,21.75,21.45,21.6,21.7,19719.29,2827.1086,5396.3,1320.19,1966.99,8053.69,7436.79,6916.57,25790.22,1648.98,2745.39,1399.31,315.17,6104.19,4293.27,9862.12,17651.36,3349.24,6141.9,430.89,538.5,8663.1,1312.279,7885.85,2204.12,953.9494,3066.41,4899.01,915.95,871.43,26850.53,46022.02,78304.21,2064.11,17720.5,10005.74,13787.8,53241.316,45685.82,1228.24,6694.82,51458.48,19.88,20.05,19.72,19.88,19.88,20.0,1.043627683,20.176,20.615,20.828667000000003,21.034000000000002,21.026154000000002,33.327263,-10.50478766,-1550,1.028085661,0.9879356970000001,8.383941341,8.531927407000001,15.45939448,14.90167406,4.1390307,4.116072474,7.450106179,42.71077691,-1.5118356309999998,-0.9925395709999999,10.53033318,10.39081063,10.43756616,67.48404188
2016-05-19,0.0950566977262497,0.2930472791194916,0.6118960380554199,0.013490087164264072,19.88,19.96,20.3,20.05,19.88,20.05,20.2,20.45,20.3,20.2,20.55,20.7,20.75,21.15,21.5,21.65,21.7,21.55,21.8,21.95,21.5,19694.33,2806.906,5385.6,1336.56,1946.78,8095.98,7427.33,6903.63,25704.61,1635.72,2777.11,1400.5,316.58,6165.8,4319.3,9943.23,17713.62,3353.17,6190.37,434.46,543.74,8775.1,1340.9254,7973.93,2211.36,962.9271,3102.6338,4853.95,926.82,873.38,26026.21,46609.83,77243.88,2047.63,17526.621,9866.82,13826.01,50561.703,45551.2,1221.36,6737.4,52797.23,19.88,20.0,19.84,19.88,19.88,20.0,1.094784558,20.014,20.21,20.394667000000002,20.7285,20.92577,36.94397,-10.50478766,-1582,1.028472427,0.989235065,8.367615016,8.44964194,15.40637068,14.71896842,4.1311417530000005,4.099245561,6.892679797,42.63044408,-1.1443124690000002,-1.416076884,10.55974167,10.41298849,10.46194353,70.14614312
2016-05-30,0.11198229342699051,0.00488009350374341,0.883137583732605,0.011919092237210284,20.85,20.8,20.65,20.6,20.1,20.0,20.15,19.88,19.96,20.3,20.05,19.88,20.05,20.2,20.45,20.3,20.2,20.55,20.7,20.75,21.15,20629.39,2822.4509999999996,5473.6,1366.01,1967.13,8535.87,7464.34,7019.64,26653.6,1637.19,2802.51,1412.67,328.3,6270.79,4514.74,10286.31,18186.14,3523.47,6503.74,450.94,555.41,9107.3,1376.4985,8292.45,2263.51,996.7517,3229.7859999999996,4961.16,917.52,890.47,27011.72,46634.55,78028.9,2099.06,17873.22,9674.23,14105.23,49051.492,46124.15,1240.87,6482.48,54105.37,20.85,21.05,20.75,20.9,20.9,20.8,1.152583395,20.6,20.268333,20.261333,20.320999999999998,20.606539,56.28148,-17.71542272,-1493,1.048346955,1.036422137,8.554307113,8.849479481,15.70415877,15.28628871,4.048654624,3.911271598,80.6233447,42.59066082,-1.07583907,-2.229831735,10.22135857,10.90251127,10.69677296,69.98805175
2016-06-13,0.7311869859695435,0.005502691492438316,0.2633103132247925,-0.004796172263492944,20.9,21.4,21.65,21.6,21.35,21.25,21.15,21.0,21.1,20.85,20.8,20.65,20.6,20.1,20.0,20.15,19.88,19.96,20.3,20.05,19.88,20512.99,2833.0708,5391.6,1284.54,1979.06,8536.22,7554.4,6924.27,26635.75,1641.22,2822.97,1429.21,313.07,6115.76,4306.72,9834.62,17120.16,3441.6,6228.24,435.77,540.5,8490.5,1315.0594,7922.71,2189.87,964.0649,3203.6228,4703.17,924.65,840.05,26519.61,45348.2,76887.29,2096.07,17865.34,9851.83,14037.54,49422.16,45177.5,1246.37,6606.92,53175.15,20.9,21.1,20.75,20.9,20.9,21.05,1.13021944,21.38,21.141666,20.96,20.737,20.608461,50.029408000000004,-13.00937367,-1418,1.039612596,1.013648149,8.446390223,8.556101897000001,15.67139242,15.01813795,4.061628454,3.9859419380000003,5.583873632,42.54680972,-1.185540635,-2.19393283,9.875442984,10.68775188,10.64954093,68.70725932
2016-06-21,0.807826042175293,0.011496522463858128,0.18067742884159088,0.011806512586989044,21.05,20.85,20.6,20.45,20.8,20.8,20.9,21.4,21.65,21.6,21.35,21.25,21.15,21.0,21.1,20.85,20.8,20.65,20.6,20.1,20.0,20668.44,2878.5576,5353.3,1293.9,1982.7,8684.85,7767.23,6839.39,26866.92,1634.23,2800.87,1421.99,315.68,6204.0,4340.76,9962.02,17353.45,3432.18,6263.94,436.5,541.98,8647.1,1340.2885,7900.22,2192.9,934.0258,3225.8682,4665.36,935.04,838.94,26563.59,45344.03,77523.09,2083.25,17804.871,9834.0,14015.14,50329.363,45779.66,1238.22,6558.92,53032.14,21.05,21.1,20.9,21.1,21.1,20.9,1.089922112,20.75,21.058332,21.063334,20.9475,20.741922,53.955837,-15.36838617,-1388,1.042769363,1.018882702,8.466323906,8.53231877,15.70453582,14.98120983,4.044162200000001,3.9671365610000002,94.13777788,42.57647621,-1.499134634,-2.127678308,9.921407237,10.74598086,10.70956998,68.71581304
2016-06-24,0.4572179913520813,0.0037054813001304865,0.5390765070915222,-0.0024125464053839896,20.75,21.35,21.3,21.05,20.85,20.6,20.45,20.8,20.8,20.9,21.4,21.65,21.6,21.35,21.25,21.15,21.0,21.1,20.85,20.8,20.65,20259.13,2854.2864,5192.8,1204.48,1925.24,8476.99,7629.72,6667.78,27002.22,1639.98,2793.85,1436.4,324.31,6338.1,4465.9,10257.03,17966.17,3498.04,6371.03,449.86,549.79,8885.3,1360.7299,8023.05,2242.11,960.1014,3271.3982,4689.96,941.11,855.26,26924.09,46826.85,77989.87,2113.32,18011.07,9913.46,14131.38,51559.816,46145.92,1240.22,6550.97,53585.53,20.75,21.55,20.1,20.8,20.8,20.8,1.194233405,21.06,20.991667,21.073334,21.05,20.860770000000002,47.230990000000006,-12.62472554,-1387,1.033903599,1.000828047,8.297437986,8.170394672999999,15.635741699999999,14.82432094,4.073024936,4.035753658,0.928137841,42.50434638,-1.3572500719999998,-2.6391891690000002,10.29488011,10.545794699999998,10.62934436,68.74389818
