2800-HK,1/1/2000,,,,,,,,,,,,,,,,,,,,
Date,RET,RET_L1,RET_L2,RET_L3,RET_L4,RET_L5,RET_L6,RET_L7,RET_L8,RET_L9,RET_L10,RET_L11,RET_L12,RET_L13,RET_L14,RET_L15,RET_L16,RET_L17,RET_L18,RET_L19,RET_L20
12/30/99,16.8,16.6,16.9,16.75,16.15,16.1,16.1,16.15,15.9,15.5,15.75,16.15,16.3,16.3,16.35,15.95,16.05,16.05,15.85,15.55,15.45
1/03/00,17.25,16.8,16.6,16.9,16.75,16.15,16.1,16.1,16.15,15.9,15.5,15.75,16.15,16.3,16.3,16.35,15.95,16.05,16.05,15.85,15.55
1/04/00,17,17.25,16.8,16.6,16.9,16.75,16.15,16.1,16.1,16.15,15.9,15.5,15.75,16.15,16.3,16.3,16.35,15.95,16.05,16.05,15.85
1/05/00,15.8,17,17.25,16.8,16.6,16.9,16.75,16.15,16.1,16.1,16.15,15.9,15.5,15.75,16.15,16.3,16.3,16.35,15.95,16.05,16.05
1/06/00,14.95,15.8,17,17.25,16.8,16.6,16.9,16.75,16.15,16.1,16.1,16.15,15.9,15.5,15.75,16.15,16.3,16.3,16.35,15.95,16.05
1/07/00,15.35,14.95,15.8,17,17.25,16.8,16.6,16.9,16.75,16.15,16.1,16.1,16.15,15.9,15.5,15.75,16.15,16.3,16.3,16.35,15.95
1/10/00,15.75,15.35,14.95,15.8,17,17.25,16.8,16.6,16.9,16.75,16.15,16.1,16.1,16.15,15.9,15.5,15.75,16.15,16.3,16.3,16.35
1/11/00,15.8,15.75,15.35,14.95,15.8,17,17.25,16.8,16.6,16.9,16.75,16.15,16.1,16.1,16.15,15.9,15.5,15.75,16.15,16.3,16.3
1/12/00,15.65,15.8,15.75,15.35,14.95,15.8,17,17.25,16.8,16.6,16.9,16.75,16.15,16.1,16.1,16.15,15.9,15.5,15.75,16.15,16.3
1/13/00,15.55,15.65,15.8,15.75,15.35,14.95,15.8,17,17.25,16.8,16.6,16.9,16.75,16.15,16.1,16.1,16.15,15.9,15.5,15.75,16.15
1/14/00,15.45,15.55,15.65,15.8,15.75,15.35,14.95,15.8,17,17.25,16.8,16.6,16.9,16.75,16.15,16.1,16.1,16.15,15.9,15.5,15.75
1/17/00,15.55,15.45,15.55,15.65,15.8,15.75,15.35,14.95,15.8,17,17.25,16.8,16.6,16.9,16.75,16.15,16.1,16.1,16.15,15.9,15.5
1/18/00,15.75,15.55,15.45,15.55,15.65,15.8,15.75,15.35,14.95,15.8,17,17.25,16.8,16.6,16.9,16.75,16.15,16.1,16.1,16.15,15.9
1/19/00,15.15,15.75,15.55,15.45,15.55,15.65,15.8,15.75,15.35,14.95,15.8,17,17.25,16.8,16.6,16.9,16.75,16.15,16.1,16.1,16.15
1/20/00,15.1,15.15,15.75,15.55,15.45,15.55,15.65,15.8,15.75,15.35,14.95,15.8,17,17.25,16.8,16.6,16.9,16.75,16.15,16.1,16.1
1/21/00,15,15.1,15.15,15.75,15.55,15.45,15.55,15.65,15.8,15.75,15.35,14.95,15.8,17,17.25,16.8,16.6,16.9,16.75,16.15,16.1
1/24/00,15.1,15,15.1,15.15,15.75,15.55,15.45,15.55,15.65,15.8,15.75,15.35,14.95,15.8,17,17.25,16.8,16.6,16.9,16.75,16.15
1/25/00,15.05,15.1,15,15.1,15.15,15.75,15.55,15.45,15.55,15.65,15.8,15.75,15.35,14.95,15.8,17,17.25,16.8,16.6,16.9,16.75
1/26/00,15.4,15.05,15.1,15,15.1,15.15,15.75,15.55,15.45,15.55,15.65,15.8,15.75,15.35,14.95,15.8,17,17.25,16.8,16.6,16.9
1/27/00,15.85,15.4,15.05,15.1,15,15.1,15.15,15.75,15.55,15.45,15.55,15.65,15.8,15.75,15.35,14.95,15.8,17,17.25,16.8,16.6
1/28/00,16.15,15.85,15.4,15.05,15.1,15,15.1,15.15,15.75,15.55,15.45,15.55,15.65,15.8,15.75,15.35,14.95,15.8,17,17.25,16.8
1/31/00,15.55,16.15,15.85,15.4,15.05,15.1,15,15.1,15.15,15.75,15.55,15.45,15.55,15.65,15.8,15.75,15.35,14.95,15.8,17,17.25
2/01/00,15.55,15.55,16.15,15.85,15.4,15.05,15.1,15,15.1,15.15,15.75,15.55,15.45,15.55,15.65,15.8,15.75,15.35,14.95,15.8,17
2/02/00,15.85,15.55,15.55,16.15,15.85,15.4,15.05,15.1,15,15.1,15.15,15.75,15.55,15.45,15.55,15.65,15.8,15.75,15.35,14.95,15.8
2/03/00,15.9,15.85,15.55,15.55,16.15,15.85,15.4,15.05,15.1,15,15.1,15.15,15.75,15.55,15.45,15.55,15.65,15.8,15.75,15.35,14.95
2/08/00,16.15,15.9,15.85,15.55,15.55,16.15,15.85,15.4,15.05,15.1,15,15.1,15.15,15.75,15.55,15.45,15.55,15.65,15.8,15.75,15.35
2/09/00,16.8,16.15,15.9,15.85,15.55,15.55,16.15,15.85,15.4,15.05,15.1,15,15.1,15.15,15.75,15.55,15.45,15.55,15.65,15.8,15.75
2/10/00,16.75,16.8,16.15,15.9,15.85,15.55,15.55,16.15,15.85,15.4,15.05,15.1,15,15.1,15.15,15.75,15.55,15.45,15.55,15.65,15.8
2/11/00,17.6,16.75,16.8,16.15,15.9,15.85,15.55,15.55,16.15,15.85,15.4,15.05,15.1,15,15.1,15.15,15.75,15.55,15.45,15.55,15.65
2/14/00,17.15,17.6,16.75,16.8,16.15,15.9,15.85,15.55,15.55,16.15,15.85,15.4,15.05,15.1,15,15.1,15.15,15.75,15.55,15.45,15.55
2/15/00,16.65,17.15,17.6,16.75,16.8,16.15,15.9,15.85,15.55,15.55,16.15,15.85,15.4,15.05,15.1,15,15.1,15.15,15.75,15.55,15.45
2/16/00,17,16.65,17.15,17.6,16.75,16.8,16.15,15.9,15.85,15.55,15.55,16.15,15.85,15.4,15.05,15.1,15,15.1,15.15,15.75,15.55
2/17/00,16.9,17,16.65,17.15,17.6,16.75,16.8,16.15,15.9,15.85,15.55,15.55,16.15,15.85,15.4,15.05,15.1,15,15.1,15.15,15.75
2/18/00,16.45,16.9,17,16.65,17.15,17.6,16.75,16.8,16.15,15.9,15.85,15.55,15.55,16.15,15.85,15.4,15.05,15.1,15,15.1,15.15
2/21/00,16.3,16.45,16.9,17,16.65,17.15,17.6,16.75,16.8,16.15,15.9,15.85,15.55,15.55,16.15,15.85,15.4,15.05,15.1,15,15.1
2/22/00,16.15,16.3,16.45,16.9,17,16.65,17.15,17.6,16.75,16.8,16.15,15.9,15.85,15.55,15.55,16.15,15.85,15.4,15.05,15.1,15
2/23/00,16.3,16.15,16.3,16.45,16.9,17,16.65,17.15,17.6,16.75,16.8,16.15,15.9,15.85,15.55,15.55,16.15,15.85,15.4,15.05,15.1
2/24/00,17,16.3,16.15,16.3,16.45,16.9,17,16.65,17.15,17.6,16.75,16.8,16.15,15.9,15.85,15.55,15.55,16.15,15.85,15.4,15.05
2/25/00,17.15,17,16.3,16.15,16.3,16.45,16.9,17,16.65,17.15,17.6,16.75,16.8,16.15,15.9,15.85,15.55,15.55,16.15,15.85,15.4
2/28/00,16.7,17.15,17,16.3,16.15,16.3,16.45,16.9,17,16.65,17.15,17.6,16.75,16.8,16.15,15.9,15.85,15.55,15.55,16.15,15.85
2/29/00,17.05,16.7,17.15,17,16.3,16.15,16.3,16.45,16.9,17,16.65,17.15,17.6,16.75,16.8,16.15,15.9,15.85,15.55,15.55,16.15
3/01/00,16.7,17.05,16.7,17.15,17,16.3,16.15,16.3,16.45,16.9,17,16.65,17.15,17.6,16.75,16.8,16.15,15.9,15.85,15.55,15.55
3/02/00,16.8,16.7,17.05,16.7,17.15,17,16.3,16.15,16.3,16.45,16.9,17,16.65,17.15,17.6,16.75,16.8,16.15,15.9,15.85,15.55
3/03/00,17.2,16.8,16.7,17.05,16.7,17.15,17,16.3,16.15,16.3,16.45,16.9,17,16.65,17.15,17.6,16.75,16.8,16.15,15.9,15.85
3/06/00,17.7,17.2,16.8,16.7,17.05,16.7,17.15,17,16.3,16.15,16.3,16.45,16.9,17,16.65,17.15,17.6,16.75,16.8,16.15,15.9
3/07/00,17.8,17.7,17.2,16.8,16.7,17.05,16.7,17.15,17,16.3,16.15,16.3,16.45,16.9,17,16.65,17.15,17.6,16.75,16.8,16.15
3/08/00,18,17.8,17.7,17.2,16.8,16.7,17.05,16.7,17.15,17,16.3,16.15,16.3,16.45,16.9,17,16.65,17.15,17.6,16.75,16.8
3/09/00,17.7,18,17.8,17.7,17.2,16.8,16.7,17.05,16.7,17.15,17,16.3,16.15,16.3,16.45,16.9,17,16.65,17.15,17.6,16.75
3/10/00,17.65,17.7,18,17.8,17.7,17.2,16.8,16.7,17.05,16.7,17.15,17,16.3,16.15,16.3,16.45,16.9,17,16.65,17.15,17.6
3/13/00,17.15,17.65,17.7,18,17.8,17.7,17.2,16.8,16.7,17.05,16.7,17.15,17,16.3,16.15,16.3,16.45,16.9,17,16.65,17.15
3/14/00,16.95,17.15,17.65,17.7,18,17.8,17.7,17.2,16.8,16.7,17.05,16.7,17.15,17,16.3,16.15,16.3,16.45,16.9,17,16.65
3/15/00,16.8,16.95,17.15,17.65,17.7,18,17.8,17.7,17.2,16.8,16.7,17.05,16.7,17.15,17,16.3,16.15,16.3,16.45,16.9,17
3/16/00,16.4,16.8,16.95,17.15,17.65,17.7,18,17.8,17.7,17.2,16.8,16.7,17.05,16.7,17.15,17,16.3,16.15,16.3,16.45,16.9
3/17/00,17.1,16.4,16.8,16.95,17.15,17.65,17.7,18,17.8,17.7,17.2,16.8,16.7,17.05,16.7,17.15,17,16.3,16.15,16.3,16.45
3/20/00,17.15,17.1,16.4,16.8,16.95,17.15,17.65,17.7,18,17.8,17.7,17.2,16.8,16.7,17.05,16.7,17.15,17,16.3,16.15,16.3
3/21/00,17.1,17.15,17.1,16.4,16.8,16.95,17.15,17.65,17.7,18,17.8,17.7,17.2,16.8,16.7,17.05,16.7,17.15,17,16.3,16.15
3/22/00,17.5,17.1,17.15,17.1,16.4,16.8,16.95,17.15,17.65,17.7,18,17.8,17.7,17.2,16.8,16.7,17.05,16.7,17.15,17,16.3
3/23/00,17.75,17.5,17.1,17.15,17.1,16.4,16.8,16.95,17.15,17.65,17.7,18,17.8,17.7,17.2,16.8,16.7,17.05,16.7,17.15,17
3/24/00,17.75,17.75,17.5,17.1,17.15,17.1,16.4,16.8,16.95,17.15,17.65,17.7,18,17.8,17.7,17.2,16.8,16.7,17.05,16.7,17.15
3/27/00,18.35,17.75,17.75,17.5,17.1,17.15,17.1,16.4,16.8,16.95,17.15,17.65,17.7,18,17.8,17.7,17.2,16.8,16.7,17.05,16.7
3/28/00,18.4,18.35,17.75,17.75,17.5,17.1,17.15,17.1,16.4,16.8,16.95,17.15,17.65,17.7,18,17.8,17.7,17.2,16.8,16.7,17.05
3/29/00,18.2,18.4,18.35,17.75,17.75,17.5,17.1,17.15,17.1,16.4,16.8,16.95,17.15,17.65,17.7,18,17.8,17.7,17.2,16.8,16.7
3/30/00,17.7,18.2,18.4,18.35,17.75,17.75,17.5,17.1,17.15,17.1,16.4,16.8,16.95,17.15,17.65,17.7,18,17.8,17.7,17.2,16.8
