2800-HK,1/1/2000,,,,,,,,,,,,,,,,,,,,
Date,RET,RET_L1,RET_L2,RET_L3,RET_L4,RET_L5,RET_L6,RET_L7,RET_L8,RET_L9,RET_L10,RET_L11,RET_L12,RET_L13,RET_L14,RET_L15,RET_L16,RET_L17,RET_L18,RET_L19,RET_L20
12/30/99,0.011976099,-0.017910907,0.00891534,0.036478206,0.003100688,0,-0.003100702,0.015600871,0.025479035,-0.016000325,-0.025079641,-0.009245004,0,-0.003062886,0.024769097,-0.006249991,0,0.012539254,0.019108857,0.006451643,0.013029447
1/03/00,0.026433243,0.011976099,-0.017910907,0.00891534,0.036478206,0.003100688,0,-0.003100702,0.015600871,0.025479035,-0.016000325,-0.025079641,-0.009245004,0,-0.003062886,0.024769097,-0.006249991,0,0.012539254,0.019108857,0.006451643
1/04/00,-0.014598796,0.026433243,0.011976099,-0.017910907,0.00891534,0.036478206,0.003100688,0,-0.003100702,0.015600871,0.025479035,-0.016000325,-0.025079641,-0.009245004,0,-0.003062886,0.024769097,-0.006249991,0,0.012539254,0.019108857
1/05/00,-0.073203398,-0.014598796,0.026433243,0.011976099,-0.017910907,0.00891534,0.036478206,0.003100688,0,-0.003100702,0.015600871,0.025479035,-0.016000325,-0.025079641,-0.009245004,0,-0.003062886,0.024769097,-0.006249991,0,0.012539254
1/06/00,-0.055298674,-0.073203398,-0.014598796,0.026433243,0.011976099,-0.017910907,0.00891534,0.036478206,0.003100688,0,-0.003100702,0.015600871,0.025479035,-0.016000325,-0.025079641,-0.009245004,0,-0.003062886,0.024769097,-0.006249991,0
1/07/00,0.02640422,-0.055298674,-0.073203398,-0.014598796,0.026433243,0.011976099,-0.017910907,0.00891534,0.036478206,0.003100688,0,-0.003100702,0.015600871,0.025479035,-0.016000325,-0.025079641,-0.009245004,0,-0.003062886,0.024769097,-0.006249991
1/10/00,0.02572486,0.02640422,-0.055298674,-0.073203398,-0.014598796,0.026433243,0.011976099,-0.017910907,0.00891534,0.036478206,0.003100688,0,-0.003100702,0.015600871,0.025479035,-0.016000325,-0.025079641,-0.009245004,0,-0.003062886,0.024769097
1/11/00,0.003169671,0.02572486,0.02640422,-0.055298674,-0.073203398,-0.014598796,0.026433243,0.011976099,-0.017910907,0.00891534,0.036478206,0.003100688,0,-0.003100702,0.015600871,0.025479035,-0.016000325,-0.025079641,-0.009245004,0,-0.003062886
1/12/00,-0.009539052,0.003169671,0.02572486,0.02640422,-0.055298674,-0.073203398,-0.014598796,0.026433243,0.011976099,-0.017910907,0.00891534,0.036478206,0.003100688,0,-0.003100702,0.015600871,0.025479035,-0.016000325,-0.025079641,-0.009245004,0
1/13/00,-0.006410242,-0.009539052,0.003169671,0.02572486,0.02640422,-0.055298674,-0.073203398,-0.014598796,0.026433243,0.011976099,-0.017910907,0.00891534,0.036478206,0.003100688,0,-0.003100702,0.015600871,0.025479035,-0.016000325,-0.025079641,-0.009245004
1/14/00,-0.006451627,-0.006410242,-0.009539052,0.003169671,0.02572486,0.02640422,-0.055298674,-0.073203398,-0.014598796,0.026433243,0.011976099,-0.017910907,0.00891534,0.036478206,0.003100688,0,-0.003100702,0.015600871,0.025479035,-0.016000325,-0.025079641
1/17/00,0.006451643,-0.006451627,-0.006410242,-0.009539052,0.003169671,0.02572486,0.02640422,-0.055298674,-0.073203398,-0.014598796,0.026433243,0.011976099,-0.017910907,0.00891534,0.036478206,0.003100688,0,-0.003100702,0.015600871,0.025479035,-0.016000325
1/18/00,0.012779691,0.006451643,-0.006451627,-0.006410242,-0.009539052,0.003169671,0.02572486,0.02640422,-0.055298674,-0.073203398,-0.014598796,0.026433243,0.011976099,-0.017910907,0.00891534,0.036478206,0.003100688,0,-0.003100702,0.015600871,0.025479035
1/19/00,-0.038839835,0.012779691,0.006451643,-0.006451627,-0.006410242,-0.009539052,0.003169671,0.02572486,0.02640422,-0.055298674,-0.073203398,-0.014598796,0.026433243,0.011976099,-0.017910907,0.00891534,0.036478206,0.003100688,0,-0.003100702,0.015600871
1/20/00,-0.003305758,-0.038839835,0.012779691,0.006451643,-0.006451627,-0.006410242,-0.009539052,0.003169671,0.02572486,0.02640422,-0.055298674,-0.073203398,-0.014598796,0.026433243,0.011976099,-0.017910907,0.00891534,0.036478206,0.003100688,0,-0.003100702
1/21/00,-0.006644576,-0.003305758,-0.038839835,0.012779691,0.006451643,-0.006451627,-0.006410242,-0.009539052,0.003169671,0.02572486,0.02640422,-0.055298674,-0.073203398,-0.014598796,0.026433243,0.011976099,-0.017910907,0.00891534,0.036478206,0.003100688,0
1/24/00,0.006644576,-0.006644576,-0.003305758,-0.038839835,0.012779691,0.006451643,-0.006451627,-0.006410242,-0.009539052,0.003169671,0.02572486,0.02640422,-0.055298674,-0.073203398,-0.014598796,0.026433243,0.011976099,-0.017910907,0.00891534,0.036478206,0.003100688
1/25/00,-0.003316794,0.006644576,-0.006644576,-0.003305758,-0.038839835,0.012779691,0.006451643,-0.006451627,-0.006410242,-0.009539052,0.003169671,0.02572486,0.02640422,-0.055298674,-0.073203398,-0.014598796,0.026433243,0.011976099,-0.017910907,0.00891534,0.036478206
1/26/00,0.022989505,-0.003316794,0.006644576,-0.006644576,-0.003305758,-0.038839835,0.012779691,0.006451643,-0.006451627,-0.006410242,-0.009539052,0.003169671,0.02572486,0.02640422,-0.055298674,-0.073203398,-0.014598796,0.026433243,0.011976099,-0.017910907,0.00891534
1/27/00,0.028802011,0.022989505,-0.003316794,0.006644576,-0.006644576,-0.003305758,-0.038839835,0.012779691,0.006451643,-0.006451627,-0.006410242,-0.009539052,0.003169671,0.02572486,0.02640422,-0.055298674,-0.073203398,-0.014598796,0.026433243,0.011976099,-0.017910907
